tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
88.0,15.6,34.4,182.4,177.8,0.13333333333333333,0.3333333333333333,18.333333333333332,459312.26666666666,16737.933333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
89.0,15.466666666666667,34.53333333333333,184.66666666666666,180.46666666666667,0.13333333333333333,0.3333333333333333,18.866666666666667,547474.2,15051.2,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
90.0,15.466666666666667,34.53333333333333,187.86666666666667,182.33333333333334,0.13333333333333333,0.3333333333333333,18.866666666666667,652948.7333333333,13987.733333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
91.0,15.4,34.6,190.0,183.4,0.2,0.5333333333333333,19.333333333333332,776204.5333333333,12166.933333333332,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
92.0,15.4,34.6,191.86666666666667,185.93333333333334,0.2,0.6,19.333333333333332,862805.2,10925.933333333332,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
93.0,15.333333333333334,34.666666666666664,195.06666666666666,188.6,0.2,0.6,19.666666666666668,986644.8666666667,10122.866666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
94.0,15.333333333333334,34.666666666666664,197.86666666666667,192.2,0.2,0.6,19.666666666666668,1130940.8,8981.533333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
95.0,15.266666666666667,34.733333333333334,200.26666666666668,195.66666666666666,0.2,0.6,20.0,1303025.0,8173.8,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
96.0,15.266666666666667,34.733333333333334,203.33333333333334,196.6,0.2,0.6,20.0,1498619.0666666667,7976.666666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
97.0,15.2,34.8,205.66666666666666,197.53333333333333,0.2,0.8,20.4,1720624.4,7186.533333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
98.0,15.2,34.8,207.53333333333333,199.26666666666668,0.2,0.8,20.4,1926972.6666666667,6106.933333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
99.0,15.2,34.8,209.53333333333333,201.13333333333333,0.2,0.8,21.0,2235503.933333333,5107.866666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
100.0,15.2,34.8,211.26666666666668,203.66666666666666,0.2,0.8,21.0,2505352.466666667,4098.866666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
101.0,15.066666666666666,34.93333333333333,213.93333333333334,205.4,0.26666666666666666,0.8,21.4,2725270.2666666666,3249.0666666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
102.0,15.066666666666666,34.93333333333333,216.2,206.26666666666668,0.4,0.8666666666666667,21.4,2955680.4,2678.6666666666665,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
103.0,15.0,35.0,219.13333333333333,209.86666666666667,0.4,0.8666666666666667,21.866666666666667,3200567.533333333,2313.0666666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
104.0,15.0,35.0,221.4,212.0,0.4,0.9333333333333333,21.866666666666667,3550340.2,2066.133333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
105.0,15.0,35.0,222.73333333333332,214.0,0.4,0.9333333333333333,22.4,3939671.2,1668.4666666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
106.0,15.0,35.0,224.46666666666667,216.0,0.6,1.0,22.4,4390670.866666666,1301.6,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
107.0,15.0,35.0,226.6,217.4,0.6666666666666666,1.0666666666666667,22.866666666666667,4764423.466666667,1061.5333333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,unhealthy
108.0,15.0,35.0,228.33333333333334,220.06666666666666,0.6666666666666666,1.0666666666666667,22.866666666666667,5167061.733333333,910.2,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,unhealthy
109.0,14.866666666666667,35.13333333333333,231.0,221.53333333333333,0.6666666666666666,1.0666666666666667,23.066666666666666,5766905.133333334,754.6666666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,unhealthy
110.0,14.866666666666667,35.13333333333333,232.73333333333332,222.73333333333332,0.6666666666666666,1.0666666666666667,23.066666666666666,6308369.0,664.9333333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,unhealthy
111.0,14.733333333333333,35.266666666666666,235.53333333333333,224.73333333333332,0.6666666666666666,1.0666666666666667,23.533333333333335,7176649.266666667,541.4666666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,unhealthy
